,y,y_tnd,diff_y_tnd,y_gap,log(Y),obs_y,obs_diff_y,shk_y_tnd,shk_y_gap,ant_shk_y_gap,Y,,,log(obs_Y),obs_y_gap,obs_y_gap4,obs_Y,
2006Q3,945.930985294086,944.413792027968,-0.028217224037,1.517193266273,9.45930985294,946.771157645587,0.150343116188,-1.528217224055,-0.133053555935,0.0,12827.02885616167,,,,,,,
2006Q4,946.477988924294,944.288120129694,0.189850823466,2.189868788131,9.464779889259,946.771157645587,0.840172343248,-1.310149174184,0.98562478159,0.0,12897.385420924402,,,,,,,
2007Q1,946.134752340489,944.258037487682,-0.016403100666,1.87671485245,9.461347523408,946.771157645587,0.293168700921,-1.516403100453,0.21414559824,0.0,12853.192761708779,,,,,,,
2007Q2,946.170657646001,943.309119436477,0.029942170319,2.861538189471,9.461706576544,946.771157645587,0.63640516968,-1.470057815313,0.532702021247,0.0,12857.808569491792,,,,,,,
2007Q3,946.163364528261,943.452214519744,0.032342679985,2.711150007703,9.461633645279,946.771157645587,0.600500041519,-1.467657319736,0.723072170251,0.0,12856.870867442934,,,,,,,
2007Q4,947.179421223263,943.534616157445,0.142681421239,3.644805081288,9.471794212271,946.771157645587,0.607793192019,-1.357318595052,1.552569687079,0.0,12988.169871783748,,,,,,,
2008Q1,946.20049121113,943.502688472192,-0.252187917258,2.697802738886,9.462004912111,946.771157645587,-0.408261729139,-1.752187917125,-0.03588100752,0.0,12861.64508336598,,,,,,,
2008Q2,947.299452412885,945.02972616018,-0.024252895586,2.269726798442,9.47299451754,946.771157645587,0.570663956043,-1.524253368378,1.167820260783,0.0,13003.76900050126,,,,,,,
2008Q3,948.978449043396,945.101479161647,0.096713967893,3.876969881747,9.489784490434,946.771157645587,-0.528285878015,-1.403286032104,2.202212519324,0.0,13223.94513285286,,,,,,,
2008Q4,947.94375631793,945.128106218016,-0.45467343292,2.815656051713,9.479437514269,946.771157645587,-2.207279308425,-1.954677581787,-0.004397782815,0.0,13087.822729822674,,,,,,,
2009Q1,946.940538808295,948.06320105952,-0.693704305623,-1.122662251282,9.469405388083,946.771157645587,-1.172570345474,-2.193704305566,-1.280777767026,0.0,12957.180446317252,,,,,,,
2009Q2,946.409878219512,947.982584280014,-0.504906840962,-1.572706144777,9.464098782554,946.771157645587,-0.169381508181,-2.004906773567,-0.70078471867,0.0,12888.603916147242,,,,,,,
2009Q3,945.708854189387,947.718651223658,-0.499084490604,-2.009797034278,9.457088541894,946.771157645587,0.361276600247,-1.999084490584,-0.903322961671,0.0,12798.56765757192,,,,,,,
2009Q4,946.272349627762,947.4512577147,-0.251135770857,-1.178908310926,9.462723496374,946.771157645587,1.062299515618,-1.751135587692,0.11795830969,0.0,12870.890580545625,,,,,,,
2010Q1,945.808103669816,947.350943029329,-0.409359385799,-1.542839359553,9.458081036699,946.771157645587,0.498807366495,-1.909359385783,-0.686580003552,0.0,12811.276475151533,,,,,,,
2010Q2,946.000987806729,947.249643570487,-0.277131394181,-1.248655520424,9.460009879005,946.771157645587,0.963052367403,-1.777131795883,-0.210217542041,0.0,12836.01125429157,,,,,,,
2010Q3,946.252908519484,947.090754828362,-0.219386212992,-0.837846308941,9.462529085196,946.771157645587,0.770170707085,-1.719386212935,0.027677318583,0.0,12868.38857876028,,,,,,,
2010Q4,947.012366113654,946.839723764798,-0.110498475275,0.172642401979,9.470123660732,946.771157645587,0.518249921438,-1.610498547554,0.617638933663,0.0,12966.490577850263,,,,,,,
2011Q1,946.095395254325,946.904336828837,-0.412254099398,-0.808941574551,9.460953952543,946.771157645587,-0.241206737804,-1.912254099327,-0.785846275242,0.0,12848.135114863911,,,,,,,
2011Q2,946.809932343578,946.815410509382,-0.109617897846,-0.005478186398,9.468099323784,946.771157645587,0.675762325733,-1.609617874026,0.566264581275,0.0,12940.268581918135,,,,,,,
